,Attempts_Home,Attempts_Away,Attempts_On_Target_Home,Attempts_On_Target_Away,Possession_Home,Possession_Away,Passes_Home,Passes_Away,Passing_Accuracy_Home,Passing_Accuracy_Away,Fouls_Home,Fouls_Away,Yellow_Cards_Home,Yellow_Cards_Away,Red_Cards_Home,Red_Cards_Away,Offside_Home,Offside_Away,Corners_Home,Corners_Away
2.8.2024_Köln_HSV_1_2,28,10,3,6,60,40,542,379,85,78,17,7,2,2,0,0,1,4,6,3
3.8.2024_1. FC Magdeburg_Elversberg_0_0,20,8,6,2,60,40,535,371,86,78,11,8,3,2,0,0,1,1,11,1
3.8.2024_Hertha_SC Paderborn_1_2,10,10,4,4,59,41,477,331,85,74,16,8,2,1,0,0,0,1,1,8
3.8.2024_KSC_FCN_3_2,15,15,5,5,53,47,410,374,79,79,15,12,2,4,0,0,0,2,7,3
3.8.2024_Hannover 96_Jahn Regensburg_2_0,17,10,5,3,55,45,403,337,77,73,12,17,1,0,0,0,0,2,5,3
3.8.2024_Schalke_BTSV_5_1,14,11,8,6,56,44,414,326,81,79,13,11,2,2,0,0,2,1,3,3
4.8.2024_Greuther Fürth_Preußen Münster_3_1,21,14,9,4,46,54,389,445,77,82,9,11,1,2,0,0,1,1,6,5
4.8.2024_Darmstadt 98_Düsseldorf_0_2,12,11,6,4,45,55,418,527,83,88,16,7,2,2,1,0,4,0,7,6
4.8.2024_SSV Ulm 1846_FCK_1_2,11,13,3,5,51,49,354,352,78,79,12,16,2,3,0,0,3,2,6,7
9.8.2024_FCK_Greuther Fürth_2_2,13,14,7,7,57,43,469,365,83,80,10,14,3,1,0,0,1,4,8,5
9.8.2024_Jahn Regensburg_SSV Ulm 1846_1_0,7,11,1,3,46,54,311,363,70,74,22,16,3,2,0,0,1,1,5,4
10.8.2024_Düsseldorf_KSC_0_0,20,9,5,2,51,49,499,491,87,84,6,7,2,1,0,0,3,1,7,4
10.8.2024_Elversberg_Köln_2_2,9,23,3,9,44,56,396,483,76,81,13,13,3,2,0,0,0,1,4,13
10.8.2024_FCN_Schalke_3_1,8,15,5,3,48,52,396,399,77,81,12,11,1,2,1,1,2,0,1,7
10.8.2024_HSV_Hertha_1_1,11,13,2,4,41,59,347,497,87,87,9,8,2,2,0,0,1,0,9,11
11.8.2024_BTSV_1. FC Magdeburg_1_3,22,11,8,5,51,49,398,417,77,80,8,15,0,1,0,0,2,1,10,2
11.8.2024_SC Paderborn_Darmstadt 98_3_1,18,14,5,6,53,47,423,385,84,77,8,11,1,1,0,0,1,0,7,6
11.8.2024_Preußen Münster_Hannover 96_0_0,13,9,4,1,45,55,297,365,70,80,13,11,3,1,0,0,2,2,7,6
23.8.2024_KSC_Elversberg_3_2,11,11,7,3,55,45,533,454,87,82,8,6,2,0,0,0,1,0,7,3
23.8.2024_Hannover 96_HSV_1_0,9,10,3,1,47,53,395,437,83,83,20,18,4,2,0,1,1,0,1,3
24.8.2024_Hertha_Jahn Regensburg_2_0,13,13,2,2,65,35,507,280,84,72,11,8,4,2,0,1,4,0,8,2
24.8.2024_Greuther Fürth_SC Paderborn_1_1,16,13,3,4,51,49,453,431,82,85,10,15,1,3,0,0,2,2,7,5
24.8.2024_Preußen Münster_FCK_0_1,15,8,6,5,42,58,279,400,73,79,15,18,4,4,0,0,3,0,4,2
24.8.2024_Köln_BTSV_5_0,24,6,13,3,62,38,599,368,86,77,14,7,2,1,0,0,3,1,8,2
25.8.2024_Darmstadt 98_FCN_1_1,19,5,7,4,62,38,482,319,83,68,13,11,2,3,0,0,1,2,13,2
25.8.2024_1. FC Magdeburg_Schalke_2_2,14,15,8,7,57,43,460,355,79,71,9,12,4,2,0,0,0,1,9,4
25.8.2024_SSV Ulm 1846_Düsseldorf_1_2,21,12,8,5,45,55,351,427,77,77,11,13,2,5,0,0,1,2,6,5
30.8.2024_Düsseldorf_Hannover 96_1_0,23,13,6,2,48,52,439,472,80,82,12,11,3,5,0,0,0,1,8,2
30.8.2024_Jahn Regensburg_Greuther Fürth_0_4,18,20,6,8,55,45,430,363,80,75,14,8,3,2,0,0,4,0,7,4
31.8.2024_Elversberg_Darmstadt 98_4_0,16,12,4,4,48,52,404,416,84,84,10,18,2,3,0,0,1,0,8,11
31.8.2024_HSV_Preußen Münster_4_1,11,17,7,4,63,37,530,292,90,78,13,8,0,0,0,0,3,0,7,10
31.8.2024_FCN_1. FC Magdeburg_0_4,7,15,2,7,41,59,333,482,80,86,7,12,0,1,0,0,0,0,3,9
31.8.2024_FCK_Hertha_3_4,24,18,9,7,36,64,254,461,68,84,6,10,1,1,0,0,1,2,11,7
1.9.2024_BTSV_KSC_1_2,7,12,1,3,34,66,318,610,73,83,10,10,2,1,0,0,2,1,1,6
1.9.2024_SC Paderborn_SSV Ulm 1846_0_0,15,10,1,3,57,43,435,331,82,75,12,11,3,3,0,0,2,0,4,4
1.9.2024_Schalke_Köln_1_3,14,11,5,5,59,41,452,319,81,72,6,15,2,4,0,0,2,2,6,3
13.9.2024_KSC_Schalke_2_0,16,8,5,2,47,53,434,478,76,81,8,14,4,1,0,0,1,0,4,3
13.9.2024_Preußen Münster_SC Paderborn_3_3,14,19,5,9,37,63,296,501,72,84,6,10,2,3,0,0,1,3,7,6
14.9.2024_SSV Ulm 1846_FCN_1_2,13,16,4,8,42,58,360,490,80,82,12,13,5,6,0,1,2,0,2,6
